SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER
GICHSGFIN,GIC Housing Finance Limited,EQ,08-MAY-1996,INE289B01019
GICRE,General Insurance Corporation of India,EQ,25-OCT-2017,INE481Y01014
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-DEC-2009,INE047B01011
GILLETTE,Gillette India Limited,EQ,30-JUL-2003,INE322A01010
GINNIFILA,Ginni Filaments Limited,EQ,10-MAY-1995,INE424C01010
GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,INE162A01010
GKENERGY,GK Energy Limited,EQ,26-SEP-2025,INE1AG301022
GKSL,Gujarat Kidney And Super Speciality Limited,EQ,30-DEC-2025,INE0V0W01025
GKWLIMITED,GKW Limited,EQ,20-JUL-2009,INE528A01020
GLAND,Gland Pharma Limited,EQ,20-NOV-2020,INE068V01023
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,INE159A01016
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,INE935A01035
GLFL,Gujarat Lease Financing Limited,EQ,08-FEB-1995,INE540A01017
GLOBAL,Global Education Limited,BE,07-DEC-2020,INE291W01037
GLOBALE,Globale Tessile Limited,EQ,27-AUG-2024,INE0URU01010
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-OCT-2006,INE792H01019
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,07-OCT-2020,INE581X01021
GLOBECIVIL,Globe Civil Projects Limited,EQ,01-JUL-2025,INE0V3U01015
GLOBUSSPR,Globus Spirits Limited,EQ,23-SEP-2009,INE615I01010
GLOSTERLTD,Gloster Limited,EQ,26-APR-2024,INE350Z01018
GLOTTIS,Glottis Limited,EQ,07-OCT-2025,INE0TQE01026
GMBREW,GM Breweries Limited,EQ,23-AUG-1995,INE075D01018
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-DEC-1997,INE131A01031
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-MAR-2018,INE541A01023
GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,21-AUG-2006,INE776C01039
GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-MAR-2022,INE0CU601026
GNA,GNA Axles Limited,EQ,26-SEP-2016,INE934S01014
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-MAY-1995,INE113A01013
GOACARBON,Goa Carbon Limited,EQ,05-JUN-2007,INE426D01013
GOCLCORP,GOCL Corporation Limited,EQ,26-JUN-2014,INE077F01035
GOCOLORS,Go Fashion (India) Limited,EQ,30-NOV-2021,INE0BJS01011
GODAVARIB,Godavari Biorefineries Limited,EQ,30-OCT-2024,INE497S01012
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-JUL-1996,INE260B01028
GODIGIT,Go Digit General Insurance Limited,EQ,23-MAY-2024,INE03JT01014
GODREJAGRO,Godrej Agrovet Limited,EQ,16-OCT-2017,INE850D01014
GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,INE102D01028
GODREJIND,Godrej Industries Limited,EQ,25-FEB-2003,INE233A01035
GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,INE484J01027
GOKEX,Gokaldas Exports Limited,EQ,27-APR-2005,INE887G01027
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-JUN-2008,INE020J01029
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-MAR-2016,INE314T01033
GOLDENTOBC,Golden Tobacco Limited,BZ,08-FEB-1995,INE973A01010
GOLDIAM,Goldiam International Limited,EQ,29-AUG-2005,INE025B01025
GOLDTECH,AION-TECH SOLUTIONS LIMITED,EQ,11-APR-2001,INE805A01014
GOODLUCK,Goodluck India Limited,EQ,08-JAN-2015,INE127I01024
GOPAL,Gopal Snacks Limited,EQ,14-MAR-2024,INE0L9R01028
GOYALALUM,Goyal Aluminiums Limited,BE,04-NOV-2022,INE705X01026
GPIL,Godawari Power And Ispat limited,EQ,25-APR-2006,INE177H01039
GPPL,Gujarat Pipavav Port Limited,EQ,09-SEP-2010,INE517F01014
GPTHEALTH,GPT Healthcare Limited,EQ,29-FEB-2024,INE486R01017
GPTINFRA,GPT Infraprojects Limited,EQ,11-JUL-2016,INE390G01014
GRANULES,Granules India Limited,EQ,20-JUN-2005,INE101D01020
GRAPHITE,Graphite India Limited,EQ,07-FEB-2003,INE371A01025
GRASIM,Grasim Industries Limited,EQ,10-MAY-1995,INE047A01021
GRAVITA,Gravita India Limited,EQ,16-NOV-2010,INE024L01027
GREAVESCOT,Greaves Cotton Limited,EQ,09-SEP-2004,INE224A01026
GREENLAM,Greenlam Industries Limited,EQ,02-MAR-2015,INE544R01021
GREENPANEL,Greenpanel Industries Limited,EQ,23-OCT-2019,INE08ZM01014
GREENPLY,Greenply Industries Limited,EQ,06-MAR-1996,INE461C01038
GREENPOWER,Orient Green Power Company Limited,EQ,08-OCT-2010,INE999K01014
GRINDWELL,Grindwell Norton Limited,EQ,11-SEP-2006,INE536A01023
GRINFRA,G R Infraprojects Limited,EQ,19-JUL-2021,INE201P01022
GRMOVER,GRM Overseas Limited,EQ,07-SEP-2022,INE192H01020
GROBTEA,The Grob Tea Company Limited,EQ,14-JUL-2016,INE646C01018
GROWW,Billionbrains Garage Ventures Limited,EQ,12-NOV-2025,INE0HOQ01053
GRPLTD,GRP Limited,EQ,12-FEB-2015,INE137I01015
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-OCT-2018,INE382Z01011
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,03-FEB-2022,INE291A01017
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-SEP-1995,INE026A01025
GSLSU,Global Surfaces Limited,BE,23-MAR-2023,INE0JSX01015
GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,INE246F01010
GSS,GSS Infotech Limited,EQ,07-MAR-2008,INE871H01011
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,EQ,13-NOV-2020,INE586X01012
GTL,GTL Limited,EQ,29-MAR-1995,INE043A01012
GTLINFRA,GTL Infrastructure Limited,EQ,09-NOV-2006,INE221H01019
GTPL,GTPL Hathway Limited,EQ,04-JUL-2017,INE869I01013
GUFICBIO,Gufic Biosciences Limited,EQ,19-OCT-2004,INE742B01025
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-AUG-1997,INE186A01019
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-JUN-2007,INE826C01016
GUJGASLTD,Gujarat Gas Limited,EQ,15-SEP-2015,INE844O01030
GUJRAFFIA,Gujarat Raffia Industries Limited,BE,09-OCT-1996,INE610B01024
GUJTHEM,Gujarat Themis Biosyn Limited,EQ,25-FEB-2025,INE942C01045
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-JUL-2014,INE635Q01029
GULFPETRO,GP Petroleums Limited,EQ,24-SEP-2004,INE586G01017
GULPOLY,Gulshan Polyols Limited,EQ,28-JAN-2015,INE255D01024
GVKPIL,GVK Power & Infrastructure Limited,BE,27-FEB-2006,INE251H01024
GVPIL,GE Power India Limited,EQ,19-APR-2000,INE878A01011
GVPTECH,GVP Infotech Limited,EQ,06-SEP-2022,INE382T01030
GVT&D,GE Vernova T&D India Limited,EQ,30-JUN-2008,INE200A01026
HAL,Hindustan Aeronautics Limited,EQ,28-MAR-2018,INE066F01020
HALDER,Halder Venture Limited,BE,19-JAN-2026,INE115S01010
HALEOSLABS,HALEOS LABS LIMITED,BE,17-AUG-2017,INE320X01016
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-SEP-2020,INE419U01012
HAPPYFORGE,Happy Forgings Limited,EQ,27-DEC-2023,INE330T01021
HARDWYN,Hardwyn India Limited,BE,12-APR-2022,INE626Z01029
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,13-APR-2022,INE00EV01017
HARRMALAYA,Harrisons  Malayalam Limited,EQ,08-FEB-1995,INE544A01019
HARSHA,Harsha Engineers International Limited,EQ,26-SEP-2022,INE0JUS01029
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-FEB-2010,INE982F01036
HATSUN,Hatsun Agro Product Limited,EQ,20-JUN-2014,INE473B01035
HAVELLS,Havells India Limited,EQ,21-MAR-2001,INE176B01034
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,EQ,16-FEB-2000,INE293B01029
HBLENGINE,HBL Engineering Limited,EQ,04-JAN-2007,INE292B01021
HBSL,HB Stockholdings Limited,BE,23-JUL-2018,INE550B01022
HCC,Hindustan Construction Company Limited,EQ,01-APR-2003,INE549A01026
HCG,Healthcare Global Enterprises Limited,EQ,30-MAR-2016,INE075I01017
HCL-INSYS,HCL Infosystems Limited,EQ,01-JAN-1997,INE236A01020
HCLTECH,HCL Technologies Limited,EQ,06-JAN-2000,INE860A01027
HDBFS,HDB Financial Services Limited,EQ,02-JUL-2025,INE756I01012
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-AUG-2018,INE127D01025
HDFCBANK,HDFC Bank Limited,EQ,08-NOV-1995,INE040A01034
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-NOV-2017,INE795G01014
HEADSUP,Heads UP Ventures Limited,EQ,14-DEC-2016,INE759V01019
HECPROJECT,HEC Infra Projects Limited,EQ,30-DEC-2021,INE558R01013
HEG,HEG Limited,EQ,10-MAY-1995,INE545A01024
HEIDELBERG,HeidelbergCement India Limited,EQ,15-MAR-1995,INE578A01017
HEMIPROP,Hemisphere Properties India Limited,EQ,22-OCT-2020,INE0AJG01018
HERANBA,Heranba Industries Limited,EQ,05-MAR-2021,INE694N01015
HERITGFOOD,Heritage Foods Limited,EQ,27-NOV-1996,INE978A01027
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-APR-2003,INE158A01026
HESTERBIO,Hester Biosciences Limited,EQ,13-MAR-2015,INE782E01017
HEXATRADEX,Hexa Tradex Limited,EQ,20-APR-2012,INE750M01017
HEXT,Hexaware Technologies Limited,EQ,19-FEB-2025,INE093A01041
HFCL,HFCL Limited,EQ,09-MAR-2011,INE548A01028
HGINFRA,H.G. Infra Engineering Limited,EQ,09-MAR-2018,INE926X01010
HGM,HandsOn Global Management (HGM) Limited,EQ,27-SEP-2006,INE596H01014
HGS,Hinduja Global Solutions Limited,EQ,19-JUN-2007,INE170I01016
HIKAL,Hikal Limited,EQ,14-FEB-2001,INE475B01022
HILINFRA,Highway Infrastructure Limited,EQ,12-AUG-2025,INE00RL01028
HILTON,Hilton Metal Forging Limited,EQ,24-MAY-2007,INE788H01017
HIMATSEIDE,Himatsingka Seide Limited,EQ,08-FEB-1995,INE049A01027
HINDALCO,Hindalco Industries Limited,EQ,08-JAN-1997,INE038A01020
HINDCOMPOS,Hindustan Composites Limited,EQ,08-MAY-1996,INE310C01029
HINDCON,Hindcon Chemicals Limited,EQ,05-JUL-2021,INE642Y01029
HINDCOPPER,Hindustan Copper Limited,EQ,15-SEP-2010,INE531E01026
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,23-SEP-2003,INE345A01011
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-JUN-1998,INE094A01015
HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,INE030A01027
HINDWAREAP,Hindware Home Innovation Limited,EQ,26-DEC-2019,INE05AN01011
HINDZINC,Hindustan Zinc Limited,EQ,21-NOV-2006,INE267A01025
HIRECT,Hind Rectifiers Limited,EQ,26-DEC-2006,INE835D01023
HISARMETAL,Hisar Metal Industries Limited,EQ,05-JAN-2017,INE598C01011
HITECH,Hi-Tech Pipes Limited,EQ,07-MAY-2018,INE106T01025
HITECHCORP,Hitech Corporation Limited,EQ,20-DEC-2007,INE120D01012
HITECHGEAR,The Hi-Tech Gears Limited,BE,21-JAN-2002,INE127B01011
HLEGLAS,HLE Glascoat Limited,EQ,09-FEB-2023,INE461D01028
HLVLTD,HLV LIMITED,EQ,19-JUL-1995,INE102A01024
HMAAGRO,HMA Agro Industries Limited,EQ,04-JUL-2023,INE0ECP01024
HMT,HMT Limited,BZ,29-AUG-2003,INE262A01018
HMVL,Hindustan Media Ventures Limited,EQ,21-JUL-2010,INE871K01015
HNDFDS,Hindustan Foods Limited,EQ,06-JUN-2023,INE254N01026
HOMEFIRST,Home First Finance Company India Limited,EQ,03-FEB-2021,INE481N01025
HONASA,Honasa Consumer Limited,EQ,07-NOV-2023,INE0J5401028
HONAUT,Honeywell Automation India Limited,EQ,18-JUL-2003,INE671A01010
HONDAPOWER,Honda India Power Products Limited,EQ,01-APR-2003,INE634A01018
HPAL,HP Adhesives Limited,EQ,27-DEC-2021,INE0GSL01024
HPIL,Hindprakash Industries Limited,EQ,07-NOV-2022,INE05X901010
HPL,HPL Electric & Power Limited,EQ,04-OCT-2016,INE495S01016
HSCL,Himadri Speciality Chemical Limited,EQ,02-MAR-2007,INE019C01026
HTMEDIA,HT Media Limited,EQ,01-SEP-2005,INE501G01024
HUBTOWN,Hubtown Limited,EQ,07-FEB-2007,INE703H01016
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-MAY-2017,INE031A01017
HUHTAMAKI,Huhtamaki India Limited,EQ,01-OCT-2004,INE275B01026
HYBRIDFIN,Hybrid Financial Services Limited,EQ,05-DEC-2022,INE965B01022
HYUNDAI,Hyundai Motor India Limited,EQ,22-OCT-2024,INE0V6F01027
IBULLSLTD,Indiabulls Limited,EQ,18-AUG-2011,INE126M01010
ICDSLTD,ICDS Limited,EQ,17-NOV-1999,INE613B01010
ICEMAKE,Ice Make Refrigeration Limited,EQ,12-OCT-2020,INE520Y01019
ICICIAMC,ICICI Prudential Asset Management Company Limited,EQ,19-DEC-2025,INE346A01027
ICICIBANK,ICICI Bank Limited,EQ,17-SEP-1997,INE090A01021
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-SEP-2017,INE765G01017
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-SEP-2016,INE726G01019
ICIL,Indo Count Industries Limited,EQ,12-SEP-2005,INE483B01026
ICRA,ICRA Limited,EQ,13-APR-2007,INE725G01011
IDBI,IDBI Bank Limited,EQ,20-SEP-1995,INE008A01015
IDEA,Vodafone Idea Limited,EQ,09-MAR-2007,INE669E01016
IDEAFORGE,Ideaforge Technology Limited,EQ,07-JUL-2023,INE349Y01013
IDFCFIRSTB,IDFC First Bank Limited,EQ,06-NOV-2015,INE092T01019
IEX,Indian Energy Exchange Limited,EQ,23-OCT-2017,INE022Q01020
IFBAGRO,IFB Agro Industries Limited,EQ,03-APR-1996,INE076C01018
IFBIND,IFB Industries Limited,EQ,29-MAR-1995,INE559A01017
IFCI,IFCI Limited,EQ,26-APR-1995,INE039A01010
IFGLEXPOR,IFGL Refractories Limited,EQ,14-NOV-2017,INE133Y01011
IGARASHI,Igarashi Motors India Limited,EQ,09-OCT-2003,INE188B01013
IGCL,Indogulf Cropsciences Limited,EQ,03-JUL-2025,INE05J901018
IGIL,International Gemmological Institute (India) Limited,EQ,20-DEC-2024,INE0Q9301021
IGL,Indraprastha Gas Limited,EQ,26-DEC-2003,INE203G01027
IGPL,IG Petrochemicals Limited,EQ,29-JAN-2007,INE204A01010
IIFL,IIFL Finance Limited,EQ,17-MAY-2005,INE530B01024
IIFLCAPS,IIFL Capital Services Limited,EQ,20-SEP-2019,INE489L01022
IITL,Industrial Investment Trust Limited,EQ,17-AUG-2010,INE886A01014
IKIO,IKIO Technologies Limited,EQ,16-JUN-2023,INE0LOJ01019
IKS,Inventurus Knowledge Solutions Limited,EQ,19-DEC-2024,INE115Q01022
IL&FSENGG,IL&FS Engineering and Construction Company Limited,BZ,25-OCT-2007,INE369I01014
IL&FSTRANS,IL&FS Transportation Networks Limited,BZ,30-MAR-2010,INE975G01012
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,06-APR-2015,INE172N01012
IMFA,Indian Metals & Ferro Alloys Limited,EQ,23-JUL-2010,INE919H01018
IMPAL,India Motor Parts and Accessories Limited,EQ,07-OCT-2005,INE547E01014
IMPEXFERRO,Impex Ferro Tech Limited,BZ,03-FEB-2005,INE691G01015
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,EQ,01-JUL-2016,INE452L01012
INDBANK,Indbank Merchant Banking Services Limited,EQ,08-OCT-2008,INE841B01017
INDGN,Indegene Limited,EQ,13-MAY-2024,INE065X01017
INDHOTEL,The Indian Hotels Company Limited,EQ,03-JUL-1996,INE053A01029
INDIACEM,The India Cements Limited,EQ,31-MAY-2000,INE383A01012
INDIAGLYCO,India Glycols Limited,EQ,01-JUL-2005,INE560A01023
INDIAMART,Indiamart Intermesh Limited,EQ,04-JUL-2019,INE933S01016
INDIANB,Indian Bank,EQ,01-MAR-2007,INE562A01011
INDIANCARD,Indian Card Clothing Company Limited,EQ,08-JAN-1997,INE061A01014
INDIANHUME,Indian Hume Pipe Company Limited,EQ,30-AUG-1995,INE323C01030
INDIASHLTR,India Shelter Finance Corporation Limited,EQ,20-DEC-2023,INE922K01024
INDIGO,InterGlobe Aviation Limited,EQ,10-NOV-2015,INE646L01027
INDIGOPNTS,Indigo Paints Limited,EQ,02-FEB-2021,INE09VQ01012
INDIQUBE,Indiqube Spaces Limited,EQ,30-JUL-2025,INE06ST01018
INDNIPPON,India Nippon Electricals Limited,EQ,07-MAY-1997,INE092B01025
INDOAMIN,Indo Amines Limited,EQ,29-APR-2022,INE760F01028
INDOBORAX,Indo Borax & Chemicals Limited,EQ,29-MAR-2022,INE803D01021
INDOCO,Indoco Remedies Limited,EQ,14-JAN-2005,INE873D01024
INDOFARM,Indo Farm Equipment Limited,EQ,07-JAN-2025,INE622H01018
INDORAMA,Indo Rama Synthetics (India) Limited,EQ,20-JUN-2003,INE156A01020
INDOSTAR,IndoStar Capital Finance Limited,EQ,21-MAY-2018,INE896L01010
INDOTECH,Indo Tech Transformers Limited,EQ,16-MAR-2006,INE332H01014
INDOTHAI,Indo Thai Securities Limited,EQ,02-NOV-2011,INE337M01021
INDOUS,Indo Us Biotech Limited,EQ,27-SEP-2024,INE250Z01010
INDOWIND,Indowind Energy Limited,EQ,14-SEP-2007,INE227G01018
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,17-APR-1997,INE681B01017
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,02-JUL-1997,INE915B01019
INDTERRAIN,Indian Terrain Fashions Limited,EQ,11-MAR-2011,INE611L01021
INDUSINDBK,IndusInd Bank Limited,EQ,28-JAN-1998,INE095A01012
INDUSTOWER,Indus Towers Limited,EQ,28-DEC-2012,INE121J01017
INFOBEAN,InfoBeans Technologies Limited,EQ,15-JUL-2019,INE344S01016
INFOMEDIA,Infomedia Press Limited,EQ,12-OCT-2006,INE669A01022
INFY,Infosys Limited,EQ,08-FEB-1995,INE009A01021
INGERRAND,Ingersoll Rand (India) Limited,EQ,15-APR-1999,INE177A01018
INNOVACAP,Innova Captab Limited,EQ,29-DEC-2023,INE0DUT01020
INNOVANA,Innovana Thinklabs Limited,EQ,17-DEC-2024,INE403Y01018
INOXGREEN,Inox Green Energy Services Limited,EQ,23-NOV-2022,INE510W01014
INOXINDIA,INOX India Limited,EQ,21-DEC-2023,INE616N01034
INOXWIND,Inox Wind Limited,EQ,09-APR-2015,INE066P01011
INSECTICID,Insecticides (India) Limited,EQ,30-MAY-2007,INE070I01018
INSPIRISYS,Inspirisys Solutions Limited,EQ,30-OCT-2006,INE020G01017
INTELLECT,Intellect Design Arena Limited,EQ,18-DEC-2014,INE306R01017
INTENTECH,Intense Technologies Limited,EQ,23-MAR-2017,INE781A01025
INTERARCH,Interarch Building Solutions Limited,EQ,26-AUG-2024,INE00M901018
INTLCONV,International Conveyors Limited,EQ,16-SEP-2021,INE575C01027
INVENTURE,Inventure Growth & Securities Limited,EQ,04-AUG-2011,INE878H01024
IOB,Indian Overseas Bank,EQ,07-DEC-2000,INE565A01014
IOC,Indian Oil Corporation Limited,EQ,24-JUL-1996,INE242A01010
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,08-NOV-2010,INE485C01029
IONEXCHANG,ION Exchange (India) Limited,EQ,22-FEB-2022,INE570A01022
IPCALAB,IPCA Laboratories Limited,EQ,08-FEB-1995,INE571A01038
IPL,India Pesticides Limited,EQ,05-JUL-2021,INE0D6701023
IRB,IRB Infrastructure Developers Limited,EQ,25-FEB-2008,INE821I01022
IRCON,Ircon International Limited,EQ,28-SEP-2018,INE962Y01021
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,14-OCT-2019,INE335Y01020
IREDA,Indian Renewable Energy Development Agency Limited,EQ,29-NOV-2023,INE202E01016
IRFC,Indian Railway Finance Corporation Limited,EQ,29-JAN-2021,INE053F01010
IRIS,IRIS RegTech Solutions Limited,EQ,08-NOV-2021,INE864K01010
IRISDOREME,Iris Clothings Limited,EQ,22-FEB-2021,INE01GN01025
IRMENERGY,IRM Energy Limited,EQ,26-OCT-2023,INE07U701015
ISFT,Intrasoft Technologies Limited,EQ,12-APR-2010,INE566K01011
ISGEC,Isgec Heavy Engineering Limited,EQ,05-MAY-2021,INE858B01029
ISHANCH,Ishan Dyes and Chemicals Limited,EQ,24-MAR-2025,INE561M01018
ITC,ITC Limited,EQ,23-AUG-1995,INE154A01025
ITCHOTELS,ITC Hotels Limited,EQ,29-JAN-2025,INE379A01028
ITDC,India Tourism Development Corporation Limited,EQ,30-DEC-2016,INE353K01014
ITI,ITI Limited,EQ,15-SEP-2003,INE248A01017
IVALUE,Ivalue Infosolutions Limited,EQ,25-SEP-2025,INE056801025
IVC,IL&FS Investment Managers Limited,EQ,15-SEP-1999,INE050B01023
IVP,IVP Limited,EQ,13-SEP-1995,INE043C01018
IXIGO,Le Travenues Technology Limited,EQ,18-JUN-2024,INE0HV901016
IZMO,IZMO Limited,EQ,05-FEB-2007,INE848A01014
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,22-JUL-1998,INE168A01041
JAGRAN,Jagran Prakashan Limited,EQ,22-FEB-2006,INE199G01027
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,01-MAR-2000,INE048B01035
JAIBALAJI,Jai Balaji Industries Limited,EQ,09-DEC-2003,INE091G01026
JAICORPLTD,Jai Corp Limited,EQ,26-NOV-1997,INE070D01027
JAINREC,Jain Resource Recycling Limited,EQ,01-OCT-2025,INE0YD401026
JAIPURKURT,Nandani Creation Limited,EQ,02-SEP-2021,INE696V01013
JAMNAAUTO,Jamna Auto Industries Limited,EQ,10-DEC-2010,INE039C01032
JARO,Jaro Institute of Technology Management and Research Limited,EQ,30-SEP-2025,INE00YJ01010
JASH,Jash Engineering Limited,EQ,30-OCT-2019,INE039O01029
JAYAGROGN,Jayant Agro Organics Limited,EQ,17-APR-1996,INE785A01026
JAYBARMARU,Jay Bharat Maruti Limited,EQ,03-JAN-1996,INE571B01036
JAYKAY,Jaykay Enterprises Limited,EQ,03-DEC-2025,INE903A01025
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,10-MAY-1995,INE854B01010
JAYSREETEA,Jayshree Tea & Industries Limited,EQ,15-FEB-1995,INE364A01020
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,29-APR-2003,INE572A01036
JBMA,JBM Auto Limited,EQ,17-DEC-2004,INE927D01051
JETFREIGHT,Jet Freight Logistics Limited,BE,21-DEC-2021,INE982V01025
JGCHEM,J.G.Chemicals Limited,EQ,13-MAR-2024,INE0MB501011
JHS,JHS Svendgaard Laboratories Limited,EQ,21-OCT-2006,INE544H01014
JINDALPHOT,Jindal Photo Limited,EQ,07-APR-2005,INE796G01012
JINDALPOLY,Jindal Poly Films Limited,EQ,21-JAN-2002,INE197D01010
JINDALSAW,Jindal Saw Limited,EQ,29-APR-2003,INE324A01032
JINDALSTEL,JINDAL STEEL LIMITED,EQ,29-DEC-1999,INE749A01030
JINDRILL,Jindal Drilling And Industries Limited,EQ,22-DEC-2006,INE742C01031
JINDWORLD,Jindal Worldwide Limited,EQ,25-NOV-2010,INE247D01039
JIOFIN,Jio Financial Services Limited,EQ,21-AUG-2023,INE758E01017
JISLDVREQS,Jain Irrigation Systems Limited,EQ,30-NOV-2011,IN9175A01010
JISLJALEQS,Jain Irrigation Systems Limited,EQ,13-AUG-2001,INE175A01038
JITFINFRA,JITF Infralogistics Limited,EQ,27-FEB-2017,INE863T01013
JKCEMENT,JK Cement Limited,EQ,14-MAR-2006,INE823G01014
JKIL,J.Kumar Infraprojects Limited,EQ,12-FEB-2008,INE576I01022
JKIPL,Jinkushal Industries Limited,EQ,03-OCT-2025,INE1FF001016
JKLAKSHMI,JK Lakshmi Cement Limited,EQ,19-JUN-2006,INE786A01032
JKPAPER,JK Paper Limited,EQ,16-JUN-2005,INE789E01012
JKTYRE,JK Tyre & Industries Limited,EQ,19-MAR-2007,INE573A01042
JLHL,Jupiter Life Line Hospitals Limited,EQ,18-SEP-2023,INE682M01012
JMA,Jullundur Motor Agency (Delhi) Limited,EQ,16-MAR-2015,INE412C01023
JMFINANCIL,JM Financial Limited,EQ,10-OCT-2006,INE780C01023
JNKINDIA,JNK India Limited,EQ,30-APR-2024,INE0OAF01028
JOCIL,Jocil Limited,EQ,08-OCT-2008,INE839G01010
JPASSOCIAT,Jaiprakash Associates Limited,BE,14-JUN-2004,INE455F01025
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ,11-NOV-2013,INE147P01019
JPPOWER,Jaiprakash Power Ventures Limited,EQ,18-APR-2005,INE351F01018
JSFB,Jana Small Finance Bank Limited,EQ,14-FEB-2024,INE953L01027
JSL,Jindal Stainless Limited,EQ,17-NOV-2003,INE220G01021
JSLL,Jeena Sikho Lifecare Limited,EQ,11-AUG-2025,INE0J5801029
JSWCEMENT,JSW Cement Limited,EQ,14-AUG-2025,INE718I01012
JSWENERGY,JSW Energy Limited,EQ,04-JAN-2010,INE121E01018
JSWHL,JSW Holdings Limited,EQ,21-JUN-2005,INE824G01012
JSWINFRA,JSW Infrastructure Limited,EQ,03-OCT-2023,INE880J01026
JSWSTEEL,JSW Steel Limited,EQ,23-MAR-2005,INE019A01038
JTEKTINDIA,Jtekt India Limited,EQ,12-JAN-2004,INE643A01035
JTLIND,JTL INDUSTRIES LIMITED,EQ,12-JUN-2023,INE391J01032
JUBLCPL,Jubilant Agri and Consumer Products Limited,EQ,14-FEB-2025,INE03CC01015
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-FEB-2010,INE797F01020
JUBLINGREA,Jubilant Ingrevia Limited,EQ,19-MAR-2021,INE0BY001018
JUBLPHARMA,Jubilant Pharmova Limited,EQ,16-JUN-2003,INE700A01033
JUNIPER,Juniper Hotels Limited,EQ,28-FEB-2024,INE696F01016
JUSTDIAL,Just Dial Limited,EQ,05-JUN-2013,INE599M01018
JWL,Jupiter Wagons Limited,EQ,18-OCT-2010,INE209L01016
JYOTHYLAB,Jyothy Labs Limited,EQ,19-DEC-2007,INE668F01031
JYOTICNC,Jyoti CNC Automation Limited,EQ,16-JAN-2024,INE980O01024
JYOTISTRUC,Jyoti Structures Limited,EQ,19-JUL-1995,INE197A01024
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ,06-SEP-1995,INE900B01029
KAJARIACER,Kajaria Ceramics Limited,EQ,01-JUN-2004,INE217B01036
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ,13-DEC-1995,INE437B01014
KALAMANDIR,Sai Silks (Kalamandir) Limited,EQ,27-SEP-2023,INE438K01021
KALPATARU,Kalpataru Limited,EQ,01-JUL-2025,INE227J01012
KALYANI,Kalyani Commercials Limited,BE,13-FEB-2017,INE610E01010
KALYANIFRG,Kalyani Forge Limited,EQ,20-DEC-2007,INE314G01014
