SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER
ARIES,Aries Agro Limited,EQ,11-JAN-2008,INE298I01015
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-JUN-2021,INE420B01036
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,INE643K01018
ARIS,Arisinfra Solutions Limited,EQ,25-JUN-2025,INE0H9P01028
ARKADE,Arkade Developers Limited,EQ,24-SEP-2024,INE0QRL01017
ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,INE109C01017
AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,INE210C01013
ARROWGREEN,Arrow Greentech Limited,EQ,21-MAY-2015,INE570D01018
ARSHIYA,Arshiya Limited,BZ,14-DEC-2009,INE968D01022
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,30-SEP-2025,INE549H01021
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-JAN-2020,INE025R01021
ARTNIRMAN,Art Nirman Limited,EQ,18-OCT-2021,INE738V01013
ARVEE,Arvee Laboratories (India) Limited,BE,22-MAR-2021,INE006Z01016
ARVIND,Arvind Limited,EQ,08-FEB-1995,INE034A01011
ARVINDFASN,Arvind Fashions Limited,EQ,08-MAR-2019,INE955V01021
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,INE034S01021
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,INE439A01020
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-AUG-2011,INE228I01012
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,INE900C01027
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020,INE073G01016
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,INE348A01023
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,INE365D01021
ASHIMASYN,Ashima Limited,EQ,27-JUL-1995,INE440A01010
ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,INE442H01029
ASHOKAMET,Ashoka Metcast Limited,EQ,27-JUN-2023,INE760Y01011
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,INE208A01029
ASIANENE,Asian Energy Services Limited,EQ,09-DEC-2021,INE276G01015
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,INE363A01022
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,INE021A01026
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,INE022I01019
ASKAUTOLTD,ASK Automotive Limited,EQ,15-NOV-2023,INE491J01022
ASMS,Bartronics India Limited,EQ,09-FEB-2023,INE855F01042
ASPINWALL,Aspinwall and Company Limited,EQ,14-JUN-2016,INE991I01015
ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,INE563J01010
ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,INE914M01019
ASTRAL,Astral Limited,EQ,20-MAR-2007,INE006I01046
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,INE386C01029
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,INE203A01020
ASTRON,Astron Paper & Board Mill Limited,EQ,29-DEC-2017,INE646X01014
ATALREAL,Atal Realtech Limited,EQ,12-MAY-2023,INE0ALR01029
ATAM,Atam Valves Limited,EQ,10-MAY-2023,INE09KD01013
ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,INE399L01023
ATHERENERG,Ather Energy Limited,EQ,06-MAY-2025,INE0LEZ01016
ATL,Allcargo Terminals Limited,EQ,10-AUG-2023,INE0NN701020
ATLANTAA,ATLANTAA LIMITED,EQ,25-SEP-2006,INE285H01022
ATLANTAELE,Atlanta Electricals Limited,EQ,29-SEP-2025,INE0Z4F01028
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ,23-OCT-1996,INE446A01025
ATUL,Atul Limited,EQ,06-MAY-1998,INE100A01010
ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,INE951D01028
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,INE949L01017
AURIGROW,Auri Grow India Limited,BE,24-DEC-2020,INE925Y01036
AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,INE132H01018
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,INE406A01037
AURUM,Aurum PropTech Limited,EQ,19-AUG-2015,INE898S01029
AUSOMENT,Ausom Enterprise Limited,BE,17-APR-1996,INE218C01016
AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,INE449A01011
AUTOIND,Autoline Industries Limited,EQ,31-JAN-2007,INE718H01014
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,INE349W01017
AVALON,Avalon Technologies Limited,EQ,18-APR-2023,INE0LCL01028
AVANTEL,Avantel Limited,EQ,31-JUL-2024,INE005B01027
AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,INE871C01038
AVG,AVG Logistics Limited,EQ,12-MAY-2023,INE680Z01018
AVL,Aditya Vision Limited,EQ,06-NOV-2024,INE679V01027
AVONMORE,Avonmore Capital & Management Services Limited,EQ,04-JAN-2023,INE323B01024
AVROIND,AVRO INDIA LIMITED,BE,07-APR-2022,INE652Z01017
AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,INE488D01021
AWFIS,Awfis Space Solutions Limited,EQ,30-MAY-2024,INE108V01019
AWHCL,Antony Waste Handling Cell Limited,EQ,01-JAN-2021,INE01BK01022
AWL,AWL Agri Business Limited,EQ,08-FEB-2022,INE699H01024
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,INE238A01034
AXISCADES,AXISCADES Technologies Limited,EQ,21-DEC-2000,INE555B01013
